Rank,Full Journal Title,JCR Abbreviated Title,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-life,Citing Half-life,Eigenfactor Score,Article Influence Score
7136,4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,364,0.918,0.857,1.181,0.294,17,6.2,>10.0,0.0019,0.822
8747,AAOHN JOURNAL,AAOHN J,399,0.608,0.608,0.623,Not Available,0,7.9,Not Available,6.1E-4,0.165
8747,AAOHN JOURNAL,AAOHN J,399,0.608,0.608,0.623,Not Available,0,7.9,Not Available,6.1E-4,0.165
3832,AAPG BULLETIN,AAPG BULL,"7,282",1.832,1.617,2.235,0.59,83,>10.0,>10.0,0.00491,0.791
1058,AAPS Journal,AAPS J,"3,075",3.905,3.615,4.970,0.678,118,4.9,6.9,0.008,1.325
3987,AAPS PHARMSCITECH,AAPS PHARMSCITECH,"3,291",1.776,1.660,2.213,0.186,145,5.3,8.5,0.00673,0.466
10656,AATCC REVIEW,AATCC REV,215,0.254,0.225,0.321,0.034,29,8.9,>10.0,2.0E-4,0.065
7605,Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,318,0.821,0.718,1.040,0.129,31,7.8,>10.0,5.5E-4,0.327
4123,ABDOMINAL IMAGING,ABDOM IMAGING,"2,414",1.730,1.562,1.748,0.426,148,6.9,7.8,0.00461,0.485
10799,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,392,0.222,0.222,0.386,0.077,13,>10.0,>10.0,7.5E-4,0.643
5573,Abstract and Applied Analysis,ABSTR APPL ANAL,"2,479",1.274,0.899,1.288,0.298,"1,338",1.8,7.9,0.00681,0.293
9948,Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,44,0.395,0.186,0.297,0.0,16,Not Available,10.0,3.0E-5,0.019
3054,ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,"6,284",2.198,1.910,2.481,0.42,174,7.3,7.1,0.01536,0.908
1347,ACADEMIC MEDICINE,ACAD MED,"9,372",3.468,2.801,3.654,1.059,238,7.4,7.0,0.02266,1.350
3000,Academic Pediatrics,ACAD PEDIATR,678,2.227,1.867,2.651,0.415,82,3.2,6.4,0.00401,0.994
5681,ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,968,1.243,0.861,1.479,0.418,67,5.7,7.6,0.00175,0.315
3277,ACADEMIC RADIOLOGY,ACAD RADIOL,"4,226",2.077,1.731,2.145,0.495,198,6.0,7.2,0.01059,0.675
307,Academy of Management Annals,ACAD MANAG ANN,778,7.333,6.741,10.154,0.6,15,4.4,>10.0,0.00713,6.560
653,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,"19,426",4.974,4.596,8.443,0.541,74,>10.0,>10.0,0.02533,5.239
3193,Academy of Management Learning & Education,ACAD MANAG LEARN EDU,"1,106",2.121,1.500,3.579,0.2,30,6.0,9.1,0.00313,1.229
2021,Academy of Management Perspectives,ACAD MANAGE PERSPECT,738,2.826,2.761,3.766,0.913,23,4.7,9.6,0.00413,1.803
